timestamp,open,high,low,close,volume
1736608200000,5.42413327120231e-06,6.69986886224476e-06,5.42413327120231e-06,6.69986886224476e-06,1322.737100951285
1736608260000,6.69986886224476e-06,1.103012706731492e-05,6.69986886224476e-06,1.094064520799158e-05,4718.34565198314
1736608320000,1.094064520799158e-05,1.602849030847283e-05,1.094064520799158e-05,1.179060462812303e-05,5389.4706346251005
1736608380000,1.179060462812303e-05,2.029549432160973e-05,1.164294743506928e-05,2.029549432160973e-05,7271.2109594455405
1736608440000,2.029549432160973e-05,2.667267988726007e-05,1.863879620685051e-05,2.433797719566601e-05,5825.4467912482405
1736608500000,2.433797719566601e-05,2.489230515305769e-05,1.922425192541192e-05,1.946994810526263e-05,3912.26279655266
1736608560000,1.946994810526263e-05,2.912406525915267e-05,1.940714758176841e-05,1.99467915429655e-05,9136.79141687434
1736608620000,1.99467915429655e-05,2.857343403509089e-05,1.99467915429655e-05,2.2041815509408e-05,6900.02431867246
1736608680000,2.2041815509408e-05,2.821761673184986e-05,2.165304673734383e-05,2.208471756862803e-05,6290.371149567075
1736608740000,2.208471756862803e-05,2.391379526708636e-05,1.481666271453773e-05,1.818306500085541e-05,6572.20308001155
1736608800000,1.818306500085541e-05,2.07024324417787e-05,9.8233768880569e-06,2.0166866990413547e-05,5181.04431573503
1736608860000,2.0166866990413547e-05,2.013468001035718e-05,9.75678110835063e-06,1.956077709974101e-05,7081.27135918542
1736608920000,1.956077709974101e-05,2.077468322404885e-05,1.717628451863893e-05,2.038694243786159e-05,5099.06408643093
1736608980000,2.038694243786159e-05,3.219482258564897e-05,2.032605690146166e-05,3.218881482652269e-05,5790.71175981078
1736609040000,3.218881482652269e-05,3.485221415900003e-05,2.920799061835146e-05,2.920799061835146e-05,2927.00899754181
1736609100000,2.920799061835146e-05,2.929515173238014e-05,2.45899872129167e-05,2.8111045027717e-05,2755.30669766948
1736609160000,2.8111045027717e-05,2.871960690143874e-05,2.608995920788921e-05,2.660284964354759e-05,1293.835406705875
1736609220000,2.660284964354759e-05,2.666991157440003e-05,2.11532899027508e-05,2.651134732261977e-05,3743.760729339815
1736609280000,2.651134732261977e-05,3.322070376678744e-05,2.497079175433437e-05,3.132565550114017e-05,3281.817812538545
1736609340000,3.132565550114017e-05,3.491050924829914e-05,2.824827028134617e-05,2.968218145612674e-05,4395.654576142595
1736609400000,2.968218145612674e-05,3.136647981539444e-05,2.557544187385991e-05,2.817507871929771e-05,3575.36022391755
1736609460000,2.817507871929771e-05,2.938236026848004e-05,2.56242648576953e-05,2.93823587993621e-05,1563.8763033118898
1736609520000,2.93823587993621e-05,3.066800371334604e-05,2.885877742953491e-05,2.904263492594318e-05,1009.3601228604999
1736609580000,2.904263492594318e-05,3.340635492232565e-05,2.762548508826696e-05,3.340635492232565e-05,2366.007562000375
1736609640000,3.340635492232565e-05,3.83466539492574e-05,3.333840095224305e-05,3.834665203130799e-05,2158.58629823857
1736609700000,3.834665203130799e-05,4.405515726767606e-05,3.729882639970205e-05,4.370402400551156e-05,3263.937873797785
1736609760000,4.370402400551156e-05,4.836976295438581e-05,4.162215461410708e-05,4.836976295438581e-05,6799.55894189311
1736609820000,4.836976295438581e-05,5.742668587640689e-05,4.836976295438581e-05,5.351775031037444e-05,4236.27328787679
1736609880000,5.351775031037444e-05,6.794410080360643e-05,5.300166782812635e-05,6.149948734744597e-05,11948.755960613094
1736609940000,6.149948734744597e-05,6.438126141647525e-05,5.518919970209135e-05,5.69846557965193e-05,6156.305789373455
1736610000000,5.69846557965193e-05,6.379630373126222e-05,5.69846557965193e-05,6.277018908789441e-05,4247.038335076185
1736610060000,6.277018908789441e-05,7.458455393030916e-05,6.277018908789441e-05,7.458455393030916e-05,5538.381211107485
1736610180000,7.458455393030916e-05,6.61223298661105e-05,4.938375581873355e-05,5.225990109762737e-05,16435.89519148945
1736610240000,5.225990109762737e-05,6.172742776039625e-05,4.244101356466746e-05,5.857801898408701e-05,13318.449675026624
1736610300000,5.857801898408701e-05,6.844128496531291e-05,5.208875527471929e-05,6.638714418287007e-05,14355.399066640055
1736610360000,6.638714418287007e-05,6.786339831574577e-05,5.178776262757855e-05,5.784470057612214e-05,11843.87166486106
1736610420000,5.784470057612214e-05,5.795162867065e-05,4.328161956548437e-05,5.308912353794887e-05,9469.079530009849
1736610480000,5.308912353794887e-05,7.269337648368859e-05,4.084336729003227e-05,4.187553762394509e-05,11969.298854138025
1736610540000,4.187553762394509e-05,5.160125298230636e-05,3.428799553993478e-05,3.955547384689168e-05,9608.43700458828
1736610600000,3.955547384689168e-05,4.984496807686958e-05,2.717741463725889e-05,3.142299376681295e-05,15634.48730337322
1736610660000,3.142299376681295e-05,4.093890410448113e-05,2.882323303747015e-05,3.821381894022951e-05,10437.74645332897
1736610720000,3.821381894022951e-05,3.821381894022951e-05,3.0604468466065e-05,3.0604468466065e-05,3586.180438756955
1736610780000,3.0604468466065e-05,3.989433972500534e-05,3.010973706988366e-05,3.989433972500534e-05,2734.656811084445
1736610840000,3.989433972500534e-05,4.456285242376628e-05,3.217783840269975e-05,4.400081135887797e-05,8821.12542579418
1736610900000,4.400081135887797e-05,4.841339620458544e-05,4.099874863622453e-05,4.524652347799356e-05,7998.46721790062
1736610960000,4.524652347799356e-05,5.562822809664754e-05,4.524652347799356e-05,5.04223305254573e-05,4702.16508258361
1736611020000,5.04223305254573e-05,5.04223305254573e-05,3.781244692680905e-05,3.781244692680905e-05,3021.34696155093
1736611080000,3.781244692680905e-05,4.499263867802519e-05,3.447517107169786e-05,4.020600033224794e-05,3913.32741662875
1736611140000,4.020600033224794e-05,4.154274337265438e-05,3.773504499461625e-05,4.10004978097947e-05,1741.47298109652
1736611200000,4.10004978097947e-05,4.682356148749122e-05,3.995521968713055e-05,4.580587422768053e-05,1634.554835462235
1736611260000,4.580587422768053e-05,4.674614942692932e-05,4.223237293289962e-05,4.361752973901839e-05,1310.3012161398499
1736611320000,4.361752973901839e-05,4.401592795206948e-05,2.277992836474808e-05,2.277992836474808e-05,3842.518984125295
1736611380000,2.277992836474808e-05,3.083766479518466e-05,1.908755063033896e-05,2.466994297992967e-05,1890.159200337195
1736611440000,2.466994297992967e-05,2.655543110387335e-05,2.00722060178399e-05,2.00722060178399e-05,2309.364522373895
1736611500000,2.00722060178399e-05,2.00722060178399e-05,1.526571959671097e-05,1.526571959671097e-05,2038.84541957787
1736611560000,1.526571959671097e-05,1.575681433070879e-05,1.342216982549104e-05,1.43432907338934e-05,1406.99503602903
1736611620000,1.43432907338934e-05,1.723488605992791e-05,1.43432907338934e-05,1.712153900246105e-05,734.194205335815
1736611680000,1.712153900246105e-05,2.01112410796478e-05,1.712153900246105e-05,1.94128138089507e-05,1879.769522116605
1736611740000,1.94128138089507e-05,2.198976160481233e-05,1.94128138089507e-05,2.02743217002809e-05,1457.2425745395599
1736611800000,2.02743217002809e-05,2.096605055518271e-05,1.699335719937805e-05,1.699335719937805e-05,1223.237909463495
1736611860000,1.699335719937805e-05,1.922812222075091e-05,1.606633947136533e-05,1.824328135977814e-05,1285.6492445799
1736611920000,1.824328135977814e-05,1.828469814535192e-05,1.678845917233268e-05,1.819545339704446e-05,657.16608579258
1736611980000,1.819545339704446e-05,2.20713085798336e-05,1.806679158065271e-05,2.11971230605981e-05,1240.99786407529
1736612040000,2.11971230605981e-05,2.14889985888445e-05,2.050493367815306e-05,2.062077246464627e-05,322.571027831925
1736612100000,2.062077246464627e-05,2.062077246464627e-05,1.732177672753361e-05,1.732177672753361e-05,695.655488900565
1736612160000,1.732177672753361e-05,2.34806237224518e-05,1.567979288375891e-05,1.606181747001081e-05,1263.323554327595
1736612220000,1.606181747001081e-05,2.045134009177417e-05,1.525165385277592e-05,1.525165385277592e-05,2276.75197853103
1736612280000,1.525165385277592e-05,1.722538045984876e-05,1.295302863552921e-05,1.418320122241323e-05,2466.8565871040496
1736612340000,1.418320122241323e-05,1.495173089468185e-05,1.115308057768504e-05,1.115308057768504e-05,1937.469019581655
1736612400000,1.115308057768504e-05,1.135627460402847e-05,1.054243341272494e-05,1.134655048499567e-05,638.98618150252
1736612460000,1.134655048499567e-05,1.134655048499567e-05,1.116262139993492e-05,1.116262139993492e-05,48.96855265026
1736612520000,1.116262139993492e-05,1.116262139993492e-05,9.04631192074403e-06,9.04631192074403e-06,866.244447822405
1736612580000,9.04631192074403e-06,9.81460566301404e-06,8.66037997876898e-06,9.66825295268933e-06,616.6564076380901
1736612640000,9.66825295268933e-06,9.66825295268933e-06,9.59908945274577e-06,9.59908945274577e-06,22.16676900427
1736612700000,9.59908945274577e-06,9.59908945274577e-06,8.59899032019381e-06,8.97948635156121e-06,750.78606060831
1736612760000,8.97948635156121e-06,8.97948635156121e-06,8.29284393268525e-06,8.29284393268525e-06,279.849679395975
1736612820000,8.29284393268525e-06,8.29284393268525e-06,8.12754767294304e-06,8.12754767294304e-06,59.013959698575
1736612880000,8.12754767294304e-06,8.12754767294304e-06,7.94385501456976e-06,7.94385501456976e-06,59.583019836119995
1736612940000,7.94385501456976e-06,7.94385501456976e-06,7.8335701232617e-06,7.8335701232617e-06,27.414425432125
